DATE,PCPI16083
1969-01-01,3336
1970-01-01,3778
1971-01-01,3947
1972-01-01,4354
1973-01-01,5034
1974-01-01,5989
1975-01-01,5967
1976-01-01,6348
1977-01-01,6445
1978-01-01,7306
1979-01-01,7936
1980-01-01,8918
1981-01-01,9511
1982-01-01,10111
1983-01-01,10717
1984-01-01,11326
1985-01-01,11778
1986-01-01,12112
1987-01-01,12597
1988-01-01,13626
1989-01-01,14847
1990-01-01,15572
1991-01-01,15892
1992-01-01,16488
1993-01-01,17674
1994-01-01,18235
1995-01-01,19234
1996-01-01,20217
1997-01-01,20626
1998-01-01,21627
1999-01-01,21749
2000-01-01,22668
2001-01-01,24184
2002-01-01,24426
2003-01-01,24660
2004-01-01,26378
2005-01-01,27148
2006-01-01,28245
2007-01-01,29821
2008-01-01,30346
2009-01-01,28907
2010-01-01,29717
2011-01-01,31184
2012-01-01,32395
2013-01-01,33354
2014-01-01,34607
2015-01-01,35766
2016-01-01,36186
2017-01-01,37271
2018-01-01,38348
2019-01-01,39899
2020-01-01,43529
2021-01-01,47217
2022-01-01,49019
