Fire_Year,Smoke_Estimate
1963,2.5116169027384276
1964,1.5501121173332568
1965,0.5360626156786426
1966,5.535176126389212
1967,1.0876518240620765
1968,0.6954362870969247
1969,1.1345919827185442
1970,1.351411462040531
1971,4.659367424686168
1972,1.6113016972785674
1973,3.781525041634616
1974,1.7351552436307358
1975,1.1797462145413664
1976,3.6825411498762257
1977,1.3658787698006685
1978,0.5495969165989572
1979,3.837547654816804
1980,2.9847935517583912
1981,11.358948435281139
1982,2.0068091426007806
1983,6.385183312302038
1984,7.004184092747004
1985,18.585429380453178
1986,12.77712903525444
1987,8.080026762844538
1988,24.720617043552263
1989,5.5090621545058
1990,5.369854108018423
1991,3.135755165465393
1992,12.660358818068357
1993,1.1497860620527747
1994,15.74675539499716
1995,6.822047962135924
1996,30.885585223626236
1997,1.937493768371753
1998,4.247454943240336
1999,28.10400137433942
2000,41.55842449504727
2001,16.7155487060719
2002,10.077919559789866
2003,9.89222505569133
2004,2.767219880560906
2005,16.774370161712856
2006,39.213735032251
2007,53.806677426424336
2008,8.507692433802998
2009,3.9815697294802344
2010,6.827909443788505
2011,13.547697943880104
2012,52.16759431324569
2013,16.69899129051696
2014,12.937403397329094
2015,18.492309553396748
2016,14.23274763415107
2017,32.7537177425239
2018,33.6242288962292
2019,8.649442955540268
2020,24.46996033037588
